id,ffpDate,gender,age,flyTimes,lastToEnd,averageDiscount,distance,elitePoint,days
5079,2011/04/24,男,43,2,338,1,368,0,1072
15093,2011/12/14,男,28,2,28,0.34,1096,0,838
39392,2008/09/23,女,48,2,664,0.25,1494,0,2015
36170,2011/01/13,男,28,2,416,0.25,1494,0,1173
27070,2008/12/03,男,37,2,209,0.415,904,0,1944
1710,2012/06/07,男,26,2,322,0.325,1158,0,662
58482,2009/12/08,男,34,2,260,0.42,900,0,1574
648,2006/04/23,男,45,2,655,0.35,1096,0,2899
18705,2006/01/25,男,70,2,67,1.05,368,0,2987
1950,2013/02/28,男,26,2,52,0.27,1434,0,396
39003,2008/02/17,男,44,2,228,0.690921986,564,0,2234
51749,2012/06/12,男,20,2,643,0.3,1312,0,657
499,2013/03/19,女,30,2,114,0.3,1312,0,377
59095,2011/02/21,女,65,2,34,0.53,746,0,1134
35869,2006/03/28,男,57,2,95,0.535,746,0,2925
4458,2009/12/20,男,36,2,499,0.25,1600,0,1562
36499,2013/02/14,男,27,2,2,0.28,1442,0,410
54229,2011/01/13,女,38,2,193,0.45,904,0,1173
40118,2009/08/18,女,32,2,646,0.45,904,0,1686
29847,2008/04/24,女,37,2,591,0.45,904,0,2167
10494,2011/04/22,女,33,2,653,0.45,904,0,1074
12054,2008/03/21,女,50,3,483,0.75,552,0,2201
7995,2012/05/12,女,60,6,22,0.112043302,3695,0,688
48565,2009/09/01,男,28,2,442,0.33313253,1245,0,1672
10529,2011/06/28,女,33,2,7,0.28,1494,0,1007
49397,2010/03/01,女,45,2,9,0.465,900,0,1491
1957,2013/02/14,男,24,2,66,0.28,1506,0,410
39359,2008/06/01,男,43,2,3,0.385,1096,0,2129
55334,2007/12/03,男,31,2,121,0.35,1206,0,2310
32003,2011/01/28,男,30,2,47,0.595,716,0,1158
47777,2007/08/11,男,52,2,621,0.4,1074,0,2424
35994,2010/02/05,男,33,2,112,0.4,1074,0,1515
14612,2012/05/23,女,39,2,627,0.4,1074,0,677
9248,2011/09/07,男,32,2,232,0.462931034,928,0,936
49334,2010/04/07,女,56,2,385,0.4,1080,0,1454
55989,2013/01/09,男,25,2,245,0.28,1546,0,446
6020,2011/11/03,女,61,2,511,0.334633205,1295,0,879
45368,2012/03/15,男,42,2,691,0.375,1158,0,746
59277,2012/03/28,男,34,2,553,0.25,1744,0,733
5974,2013/01/24,女,24,2,396,0.4,1096,0,431
12141,2008/04/07,男,45,2,488,0.25,1757,0,2184
28668,2012/02/05,男,33,2,179,0.38,1158,0,785
19860,2012/06/24,女,29,2,199,0.38,1158,0,645
12756,2008/11/14,男,31,2,176,0.38,1158,0,1963
54279,2011/02/18,女,30,2,194,0.295,1494,0,1137
28946,2013/01/27,女,29,2,231,0.34,1312,0,428
2518,2008/07/01,女,50,2,96,0.34,1312,0,2099
8959,2009/01/23,男,60,2,3,0.28,1598,0,1893
43419,2013/02/03,男,43,2,296,0.625,716,0,421
42586,2012/05/27,女,44,2,78,0.6,746,0,673
60703,2012/06/08,男,48,2,37,0.37,1210,0,661
57172,2008/04/15,男,57,2,322,0.75,597,0,2176
18199,2010/09/10,女,40,2,183,0.44848,1000,0,1298
28804,2012/08/13,男,33,2,222,0.287701149,1566,0,595
228,2011/02/04,男,31,2,247,0.38,1186,0,1151
60262,2011/12/01,男,52,2,499,0.25,1807,0,851
27976,2006/10/18,男,65,2,398,0.4,1134,0,2721
19683,2011/06/02,男,39,2,461,0.4,1134,0,1033
1954,2013/02/11,男,25,2,18,0.28,1622,0,413
50746,2012/06/01,女,18,2,162,0.55,826,0,668
4563,2010/03/13,男,49,2,644,0.25,1832,0,1479
55353,2008/02/23,女,34,2,356,0.25,1850,0,2228
27523,2012/11/02,男,31,2,208,0.265,1746,0,514
6880,2012/11/18,女,28,2,492,0.351442673,1317,0,498
47176,2005/03/15,男,50,3,337,0.283333333,1644,0,3303
9245,2011/08/22,男,35,2,318,0.425,1096,0,952
27078,2013/03/01,男,37,2,338,0.35,1332,0,395
56693,2007/07/19,男,30,2,12,0.41,1158,0,2447
51158,2013/01/27,女,24,2,392,0.4,1190,0,428
37333,2009/03/04,男,41,2,35,0.255966792,1867,0,1853
24738,2012/07/05,女,28,2,275,0.487202442,983,0,634
45137,2010/11/17,女,31,2,7,0.33,1456,0,1230
46985,2012/12/20,男,34,2,180,0.415,1158,0,466
24468,2012/05/08,男,52,2,678,0.35058309,1372,0,692
55667,2011/08/30,女,25,2,56,0.44,1096,0,944
25685,2013/02/01,女,34,2,243,0.635,760,0,423
33532,2012/06/29,女,29,2,612,0.4,1208,0,640
10482,2011/03/28,女,35,2,709,0.4,1208,0,1099
52545,2013/03/15,男,31,2,379,0.325,1494,0,381
1518,2011/06/19,男,33,2,159,0.42,1158,0,1016
25715,2010/06/03,女,18,2,306,0.375,1298,0,1397
49826,2010/07/07,男,48,2,180,0.28,1744,0,1363
13530,2010/03/12,女,33,2,564,0.36176906,1351,0,1480
28315,2008/04/14,男,28,2,185,0.28,1746,0,2177
20910,2008/05/20,男,28,2,31,0.28,1746,0,2141
19877,2012/07/16,女,24,2,72,0.28,1746,0,623
477,2012/12/26,男,26,2,175,0.28,1746,0,460
18448,2011/12/12,男,30,2,281,0.75,660,0,840
55488,2010/06/01,女,50,2,23,0.34,1456,0,1399
36264,2011/09/07,男,30,2,91,0.33,1506,0,936
14263,2012/05/16,男,31,2,270,0.415,1206,0,684
30285,2008/04/30,女,30,2,56,0.274389041,1825,0,2161
51554,2012/05/16,女,29,2,195,0.415,1208,0,684
37117,2007/03/19,女,46,2,155,0.38,1332,0,2569
36431,2012/09/11,男,36,2,87,0.391915058,1295,0,566
54148,2010/11/17,女,51,2,283,0.34,1494,0,1230
12213,2008/05/05,女,33,2,279,0.28,1820,0,2156
27557,2013/01/31,女,27,2,275,0.465,1096,0,424
9348,2012/07/01,女,48,2,543,0.45,1134,0,638
59391,2011/06/02,男,38,2,682,0.394208494,1295,0,1033
42305,2012/11/08,男,48,2,499,0.400584567,1283,0,508
32287,2013/02/06,女,33,3,91,0.36,1437,0,418
31419,2011/03/17,女,49,2,169,0.47,1102,0,1110
41576,2012/02/11,女,27,2,593,0.4,1298,0,779
26177,2012/03/21,女,73,2,584,0.4,1298,0,740
7895,2012/04/05,男,62,2,722,0.4,1298,0,725
5074,2011/02/07,男,46,2,660,0.4,1298,0,1148
33055,2011/09/09,女,36,2,419,0.137586116,3774,0,934
9421,2012/11/20,女,29,2,359,0.475,1096,0,496
18330,2011/01/14,男,48,2,126,0.4,1306,0,1172
32286,2013/02/05,男,26,2,398,0.4,1312,0,419
28302,2007/11/10,男,,2,578,0.350132626,1508,0,2333
45180,2010/12/29,女,58,2,91,0.695,760,0,1188
10917,2013/03/01,女,27,2,190,0.33,1602,0,395
45499,2012/12/18,女,29,2,406,0.286930586,1844,0,468
27730,2006/04/26,男,45,2,477,0.525,1008,0,2896
3613,2008/09/30,女,35,2,205,0.49,1080,0,2008
2445,2007/06/14,男,36,2,42,0.249624765,2132,0,2482
52082,2012/12/04,女,42,2,35,0.46,1158,0,482
9165,2011/02/01,男,38,2,727,0.4,1339,0,1154
8052,2012/08/02,男,45,2,605,0.4,1339,0,606
45461,2012/09/26,女,39,2,88,0.28,1914,0,551
25258,2012/11/09,女,59,2,492,0.475,1134,0,507
5082,2011/01/11,女,28,2,333,0.313499421,1726,0,1175
18641,2013/02/09,男,29,2,404,0.293506494,1848,0,415
17190,2012/07/06,男,37,2,224,0.323093824,1684,0,633
14790,2011/04/13,男,29,3,149,0.58010661,938,0,1083
27574,2013/02/18,男,30,2,305,0.365,1494,0,406
51061,2012/09/07,女,35,2,499,0.5,1096,0,570
12654,2008/09/17,男,55,2,566,0.5,1096,0,2021
62216,2013/03/18,女,30,2,131,0.32,1714,0,378
54880,2006/07/23,女,55,2,147,0.92,597,0,2808
36289,2011/10/31,男,31,2,658,0.475,1158,0,882
37414,2010/03/07,男,29,2,245,0.34,1622,0,1485
30178,2008/05/22,男,,2,319,0.5,1104,0,2139
21318,2008/05/04,男,40,3,579,1,552,0,2157
7300,2013/02/01,男,50,3,364,1,552,0,423
1931,2013/02/01,男,31,2,243,0.405750916,1365,0,423
9663,2006/05/25,男,44,2,59,0.73,760,0,2867
48048,2008/02/21,男,32,2,16,0.275,2020,0,2230
14338,2013/01/06,男,34,2,448,0.5,1114,0,449
45649,2006/03/13,男,52,2,570,0.25,2230,0,2940
27389,2012/01/01,男,29,2,432,0.425,1312,0,820
50865,2012/02/20,女,29,4,170,0.39,1432,0,770
411,2012/08/14,男,51,2,327,0.25,2234,0,594
18746,2006/03/07,男,46,2,114,0.735,760,0,2946
26504,2011/08/15,男,29,3,318,0.5,1119,0,959
50984,2012/09/01,男,33,2,511,0.375,1494,0,576
32112,2011/01/09,男,25,2,386,0.4,1406,0,1177
18530,2012/07/01,男,38,2,92,0.381192412,1476,0,638
45245,2011/01/24,男,39,2,432,0.25,2254,0,1162
13260,2010/03/01,男,38,2,430,0.25,2254,0,1491
57515,2010/08/24,女,32,2,130,0.515,1096,0,1315
11425,2008/02/09,男,42,2,76,0.278965007,2029,0,2242
37794,2012/08/29,男,40,2,386,0.425,1332,0,579
56481,2007/06/03,男,42,2,16,0.49,1158,0,2493
49511,2010/02/22,女,46,2,78,0.49,1158,0,1498
27169,2010/11/19,男,33,2,170,0.49,1158,0,1228
54150,2010/11/19,男,28,2,266,0.38,1494,0,1228
47671,2007/08/16,男,52,2,341,0.498463565,1139,0,2419
59497,2011/05/04,女,38,2,296,0.49,1160,0,1062
54197,2010/12/20,女,31,2,90,0.29,1962,0,1197
32463,2011/11/15,男,34,2,309,0.75,760,0,867
31576,2010/04/01,男,32,2,501,0.75,760,0,1460
27377,2011/12/12,女,32,2,519,0.25,2288,0,840
37948,2013/02/11,男,34,2,119,0.415,1380,0,413
7494,2009/12/12,男,54,2,375,0.8,716,0,1570
5419,2011/06/20,男,49,2,545,0.543519395,1057,0,1015
45181,2010/12/29,女,43,2,46,0.385,1494,0,1188
39944,2009/03/17,女,42,3,397,0.328107184,1754,0,1840
59996,2012/04/24,女,61,2,648,0.533966636,1079,0,706
35007,2012/06/12,男,39,2,632,0.4,1442,0,657
8243,2009/10/28,男,50,2,104,0.436467474,1322,0,1615
3423,2008/08/28,女,34,2,341,0.7,826,0,2041
40302,2012/05/19,女,33,2,331,0.5,1158,0,681
31242,2012/05/19,男,34,2,331,0.5,1158,0,681
4973,2011/01/15,男,31,2,443,0.5,1158,0,1171
37503,2010/11/24,男,50,2,232,0.700773881,827,0,1223
50488,2011/05/05,男,38,2,355,0.5,1160,0,1061
43269,2012/12/21,女,33,2,393,0.4,1456,0,465
47021,2013/02/13,男,25,2,47,0.27,2158,0,411
14502,2011/08/27,女,45,2,405,0.4,1458,0,947
10292,2009/03/21,男,45,2,150,0.445,1312,0,1836
8051,2012/07/16,女,35,2,49,0.45,1298,0,623
2400,2013/02/10,女,31,3,21,0.406666667,1437,0,414
28971,2013/02/27,女,29,2,78,0.422310469,1385,0,397
27160,2010/11/25,男,39,2,166,0.77,760,0,1222
47010,2013/02/25,男,31,2,22,0.28,2092,0,399
38776,2007/10/31,男,42,2,32,0.489524604,1199,0,2343
45856,2006/08/25,女,42,2,17,0.497271959,1184,0,2775
55413,2009/05/19,男,,2,493,0.25,2356,0,1777
38126,2005/04/12,男,38,2,475,0.25,2356,0,3275
9319,2012/04/12,女,46,2,210,0.395,1494,0,718
19902,2012/08/05,男,34,3,24,0.34,1737,0,603
45421,2012/06/26,男,55,2,392,0.825,716,0,643
22179,2009/10/09,女,32,2,630,0.825,716,0,1634
5876,2011/09/24,男,36,2,44,0.67,882,0,919
51933,2013/02/09,男,29,2,405,0.477258065,1240,0,415
27603,2013/03/28,男,32,2,321,0.25,2370,0,368
45261,2011/02/21,女,39,2,3,0.34,1744,0,1134
45172,2010/12/20,男,43,2,126,0.34,1744,0,1197
27837,2006/08/03,女,50,2,397,0.25,2378,0,2797
28351,2009/02/08,女,30,2,57,0.34,1756,0,1877
23204,2011/09/09,女,58,2,99,0.46,1298,0,934
37141,2007/05/04,男,30,2,137,0.32,1866,0,2523
59196,2011/04/02,男,41,2,82,0.265393159,2251,0,1094
6759,2012/12/27,男,44,2,437,0.4,1494,0,459
50719,2011/10/02,男,50,4,487,0.8125,736,0,911
56451,2005/11/21,男,33,2,81,0.295,2030,0,3052
14423,2011/07/26,男,48,2,17,0.422019704,1421,0,979
36503,2013/03/15,男,31,2,364,0.25,2401,0,381
20085,2013/03/07,男,29,2,49,0.26,2310,0,389
7352,2013/03/21,男,57,2,344,0.4,1506,0,375
45413,2012/06/05,男,37,3,400,0.366666667,1644,0,664
43278,2012/12/01,男,42,2,478,0.55,1096,0,485
20592,2007/06/09,男,51,2,366,0.55,1096,0,2487
24923,2012/11/05,男,28,2,208,0.494545455,1221,0,511
52215,2012/11/22,女,61,2,496,0.4,1510,0,494
37926,2013/02/06,女,30,2,366,0.5,1208,0,418
36043,2010/03/29,男,41,2,122,0.795,760,0,1463
29468,2007/05/24,男,47,2,265,0.313909657,1926,0,2503
35535,2006/06/09,女,41,2,238,0.525,1158,0,2852
58343,2009/11/21,女,41,2,669,0.551358696,1104,0,1591
34606,2009/11/04,男,42,2,680,0.4,1522,0,1608
32905,2012/04/03,女,72,2,692,0.4,1522,0,727
24276,2012/03/29,男,24,2,695,0.4,1522,0,732
18132,2009/05/22,男,37,2,453,0.4,1522,0,1774
10244,2007/12/02,女,45,2,569,0.4,1522,0,2311
61607,2009/07/28,男,64,2,293,0.47,1298,0,1707
52248,2013/01/16,男,43,2,439,0.35,1744,0,439
24043,2012/01/12,女,61,2,506,0.4,1526,0,809
22923,2013/03/29,女,31,2,289,0.46,1332,0,367
38884,2008/01/23,男,43,2,420,0.419461486,1467,0,2259
18229,2010/11/19,男,34,2,168,0.738105516,834,0,1228
39663,2009/08/24,男,42,2,374,0.25,2463,0,1680
18231,2010/11/19,女,39,2,687,0.25,2463,0,1228
41812,2013/01/06,男,33,2,416,0.59728419,1031,0,449
18389,2011/07/09,男,37,2,481,0.36262478,1703,0,996
3584,2008/08/28,女,45,2,71,0.328548644,1881,0,2041
32914,2011/12/11,男,52,2,580,0.311161388,1989,0,841
27298,2011/03/07,女,48,2,619,0.75,826,0,1120
35506,2005/11/05,男,36,2,136,0.535,1158,0,3068
26540,2011/09/26,男,43,2,139,0.24749004,2510,0,917
54193,2010/12/20,男,49,2,346,0.25,2486,0,1197
39763,2009/12/28,男,45,2,144,0.590445498,1055,0,1554
42479,2012/05/14,男,57,2,663,0.475,1312,0,686
9419,2012/11/13,女,35,2,357,0.475,1312,0,503
1503,2011/05/12,男,32,2,117,0.536858864,1162,0,1054
28942,2013/01/25,女,26,2,78,0.28,2232,0,430
37983,2013/03/30,男,36,2,325,0.25,2502,0,366
48399,2008/06/21,男,58,2,300,0.494099526,1266,0,2109
60213,2012/04/14,男,49,4,458,0.85,736,0,716
37551,2011/06/06,男,,4,546,0.85,736,0,1029
22976,2011/08/10,男,37,2,79,0.29,2158,0,964
54109,2010/05/03,男,54,2,581,0.825,760,0,1428
2036,2004/12/11,男,49,2,107,0.555,1134,0,3397
5119,2011/06/22,男,50,2,273,0.28,2253,0,1013
45050,2009/05/29,男,75,2,338,0.319479535,1979,0,1767
2008,2004/11/25,男,37,2,44,0.420798403,1503,0,3413
9377,2012/08/28,男,33,2,84,0.475,1332,0,580
3212,2008/03/22,男,38,3,114,0.316666667,1998,0,2200
9375,2012/08/23,男,34,2,372,0.525,1208,0,585
19806,2012/03/08,男,35,3,446,0.48335872,1313,0,753
43534,2013/02/20,男,31,2,124,0.280725022,2262,0,404
20393,2005/08/27,男,60,2,675,0.25,2542,0,3138
19936,2012/09/12,女,42,2,247,0.463088128,1373,0,565
18546,2012/08/14,男,30,2,5,0.44757917,1421,0,594
7284,2013/03/01,男,57,2,218,0.671191983,948,0,395
18651,2013/03/24,男,47,2,276,0.295,2158,0,372
22113,2009/10/24,女,35,2,697,0.55,1158,0,1619
20317,2005/06/15,男,53,2,33,0.409332478,1558,0,3211
9091,2010/12/13,女,32,3,40,0.34,1877,0,1204
5191,2011/04/07,男,,2,7,0.84,760,0,1089
55993,2013/01/11,女,25,2,74,0.34,1880,0,444
27591,2013/02/09,男,28,2,373,0.4,1598,0,415
39075,2008/03/15,男,42,2,66,0.605568182,1056,0,2207
44284,2013/01/01,女,25,2,37,0.49,1306,0,454
38959,2008/04/01,男,42,2,467,0.25,2563,0,2190
59991,2012/05/08,女,28,2,310,0.25,2572,0,692
31189,2009/11/28,男,58,5,19,0.7,920,0,1584
13096,2010/03/30,女,59,4,563,0.875,736,0,1462
45967,2006/10/22,女,37,2,378,0.9,716,0,2717
34704,2010/05/02,女,40,2,696,0.9,716,0,1429
14069,2011/10/19,女,30,2,681,0.4,1613,0,894
10071,2007/03/31,男,42,2,566,0.538365304,1199,0,2557
55186,2007/03/13,男,40,2,552,0.85,760,0,2575
25133,2012/10/01,女,41,2,547,0.85,760,0,546
12220,2008/04/23,男,61,2,494,0.633398629,1021,0,2168
41854,2011/10/25,男,33,2,448,0.425,1522,0,888
7596,2010/05/07,男,34,2,329,0.3,2158,0,1424
39992,2010/10/29,男,28,2,6,0.34,1905,0,1249
12355,2009/03/11,男,43,2,63,0.89,728,0,1846
52319,2013/02/04,男,26,2,422,0.4,1620,0,420
16549,2013/03/28,男,40,2,341,0.4,1620,0,368
7004,2012/10/06,男,30,2,540,0.4,1620,0,541
15791,2012/07/24,女,34,2,612,0.4,1622,0,615
27643,2006/01/17,女,60,2,339,0.465329513,1396,0,2995
18479,2012/02/27,男,31,2,342,0.25,2605,0,763
53130,2012/12/26,男,59,2,459,0.55,1186,0,460
13954,2013/01/06,女,62,2,168,0.565662338,1155,0,449
6263,2012/07/06,男,48,2,634,0.823959647,793,0,633
1409,2010/08/07,男,56,3,552,0.30971564,2110,0,1332
1985,2013/03/24,男,27,2,45,0.275,2378,0,372
45391,2012/04/30,男,30,2,324,0.25,2616,0,700
10065,2007/03/11,男,65,2,405,0.375,1744,0,2577
40231,2010/03/01,男,51,2,547,0.35,1870,0,1491
54534,2012/12/26,男,34,2,273,0.45,1456,0,460
24169,2011/11/20,男,42,2,38,0.505,1298,0,862
51644,2012/07/21,男,39,2,542,0.25,2622,0,618
55948,2012/11/29,男,27,2,484,0.507683398,1295,0,487
18313,2011/01/13,男,31,2,29,0.275479682,2387,0,1173
54178,2010/11/15,女,48,2,624,0.6,1096,0,1232
22503,2010/03/12,女,30,2,509,0.6,1096,0,1480
12465,2008/08/13,男,40,2,47,0.305,2158,0,2056
59099,2011/05/05,男,37,2,35,0.34,1938,0,1061
43991,2011/07/22,男,49,2,477,0.449114441,1468,0,983
58546,2010/03/16,女,55,2,260,0.878348868,751,0,1476
15492,2012/04/18,女,73,2,406,1,660,0,712
38364,2007/06/12,女,21,2,525,0.8,826,0,2484
15363,2012/05/01,男,36,2,700,0.8,826,0,699
31730,2010/06/18,男,51,2,129,0.277032691,2386,0,1382
1867,2012/11/29,男,34,2,308,0.34818612,1902,0,487
37037,2007/02/04,女,42,2,261,0.33,2007,0,2612
9366,2012/07/31,男,33,2,305,0.293881988,2254,0,608
23316,2011/03/28,男,38,3,97,0.322438077,2059,0,1099
2757,2007/09/16,男,52,2,323,0.473378475,1403,0,2388
45528,2013/03/12,男,28,3,281,0.366666667,1812,0,384
54737,2006/04/10,男,49,2,144,0.377771461,1759,0,2912
4913,2011/01/20,男,31,2,628,0.875,760,0,1166
62510,2006/02/02,女,41,2,648,0.575,1158,0,2979
6842,2012/10/10,男,38,2,443,0.677235772,984,0,537
43845,2012/09/01,男,18,2,219,0.575,1160,0,576
8543,2007/02/08,男,34,2,31,0.34,1962,0,2608
51142,2012/12/16,女,24,3,73,0.393333333,1701,0,470
9249,2011/09/08,男,31,2,82,0.558173478,1199,0,935
43220,2013/01/04,男,52,2,259,0.82192638,815,0,451
18106,2008/07/26,女,36,4,51,0.3725,1800,0,2074
10952,2013/01/23,男,64,3,95,0.293333333,2289,0,432
39020,2008/02/23,男,38,2,205,0.58,1158,0,2228
1903,2013/01/06,男,29,2,224,0.385,1746,0,449
266,2011/07/31,女,34,2,49,0.385,1746,0,974
34698,2010/01/01,男,37,2,324,0.406616314,1655,0,1550
4571,2010/03/03,男,52,2,200,0.38,1774,0,1489
56277,2005/05/30,女,43,2,221,0.3,2254,0,3227
19762,2011/11/11,男,34,2,6,0.89,760,0,871
830,2006/09/25,男,35,2,118,0.89,760,0,2744
42094,2011/11/10,女,48,2,285,0.585,1158,0,872
54540,2013/01/02,女,27,2,349,0.75,904,0,453
60761,2012/11/03,女,32,2,512,0.425,1600,0,513
17281,2012/04/13,男,49,2,719,0.4,1700,0,717
15528,2012/06/03,男,44,2,384,0.417771639,1629,0,666
20024,2013/01/15,女,22,2,78,0.269635932,2527,0,440
51956,2012/09/10,女,41,2,497,0.825,826,0,567
48660,2008/10/10,男,32,2,40,0.592337098,1151,0,1998
18576,2012/10/16,女,29,2,285,0.52,1312,0,531
58821,2010/09/21,女,26,2,553,0.9,760,0,1287
56689,2007/07/15,男,39,2,17,0.346876268,1972,0,2451
32980,2012/03/10,女,30,2,558,0.45,1521,0,751
36463,2012/12/06,女,32,2,366,0.436949585,1567,0,480
30219,2008/05/28,男,34,2,411,0.625,1096,0,2133
24033,2012/04/05,男,34,2,717,0.625,1096,0,725
6736,2012/08/11,男,66,2,532,0.625,1096,0,597
48849,2010/04/05,男,66,2,569,0.730916844,938,0,1456
29793,2008/03/19,男,52,2,398,0.382626882,1793,0,2203
45398,2012/05/29,男,35,2,24,0.26617533,2578,0,671
43319,2013/02/27,女,43,2,395,0.256152125,2682,0,397
36768,2006/06/28,男,58,2,327,0.25,2750,0,2833
4788,2010/07/24,女,37,2,432,0.25,2750,0,1346
41435,2012/12/03,男,29,2,479,0.25,2758,0,483
6676,2012/12/03,男,53,2,480,0.25,2758,0,483
19669,2011/04/21,女,46,5,229,0.75,920,0,1075
45142,2010/11/29,女,42,2,132,0.32,2158,0,1218
44105,2012/04/25,男,50,2,218,0.353214103,1957,0,705
55468,2009/11/10,男,32,2,206,0.294234043,2350,0,1602
51236,2012/02/06,男,29,2,312,0.738207044,937,0,784
12855,2010/02/28,女,55,2,28,0.29,2390,0,1492
45492,2012/11/27,男,52,2,294,0.265,2616,0,489
4293,2009/09/06,男,43,3,486,0.366666667,1893,0,1667
42973,2013/02/18,男,36,2,404,0.6,1158,0,406
36278,2011/10/24,男,36,2,544,0.4,1737,0,889
27200,2011/09/24,女,28,2,611,0.6,1158,0,919
15566,2012/07/14,女,27,2,622,0.6,1158,0,625
1493,2011/04/05,男,35,2,528,0.6,1158,0,1091
47488,2007/05/09,男,56,2,497,0.25,2780,0,2518
45151,2010/11/29,女,33,2,448,0.25,2780,0,1218
32672,2012/03/14,男,43,2,7,0.915,760,0,747
26608,2005/10/22,男,,2,44,0.396736902,1756,0,3082
22732,2011/11/12,男,66,2,624,0.4,1743,0,870
32200,2012/10/09,男,39,2,499,0.4,1744,0,538
4798,2010/06/20,女,39,2,641,0.4,1744,0,1380
2072,2005/02/10,男,92,2,452,0.673359073,1036,0,3336
59944,2011/10/03,女,25,2,504,0.65,1074,0,910
34000,2012/12/29,男,58,2,425,0.4,1746,0,457
23242,2011/01/24,女,32,2,393,0.4,1746,0,1162
9114,2010/12/20,女,31,2,436,0.4,1746,0,1197
60927,2012/10/28,男,37,2,521,0.615594714,1135,0,519
45369,2012/02/27,男,50,2,92,0.34,2055,0,763
22003,2010/12/06,女,57,2,214,0.67785645,1031,0,1211
4554,2010/02/28,男,47,2,162,0.92,760,0,1492
18689,2005/12/28,男,38,2,309,0.525,1332,0,3015
954,2006/12/01,女,45,2,90,0.633532609,1104,0,2677
18614,2013/01/24,女,27,2,89,0.290868301,2407,0,431
57977,2010/08/16,女,33,2,652,0.4,1752,0,1323
56755,2007/08/20,男,50,2,152,0.276359338,2538,0,2415
50415,2012/07/18,女,38,2,27,0.64,1096,0,621
37130,2007/04/29,男,,2,390,0.404844291,1734,0,2528
18320,2011/01/13,男,32,2,262,0.47,1494,0,1173
1744,2012/07/07,女,43,2,277,0.47,1494,0,632
50584,2011/05/20,男,54,2,431,0.542316602,1295,0,1046
413,2012/08/07,女,33,2,108,0.476829268,1476,0,601
8984,2009/08/18,女,33,2,61,0.78,904,0,1686
56001,2013/01/10,男,23,2,75,0.334375,2112,0,445
41911,2011/10/01,女,42,2,77,0.408123557,1732,0,912
10096,2007/04/02,女,45,2,373,0.418838863,1688,0,2555
32164,2011/04/18,女,37,2,60,0.62911032,1124,0,1078
27439,2012/06/04,男,31,3,52,0.171508244,4124,0,665
